Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise
1,M,R Ashwin,India,TNCA,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,167,"CSK, RSP, KXIP, DC",DC,Capped,2 CR,5 CR,Rajasthan Royals
1,M,Trent Boult,New Zealand,,32,BOWLER,RHB,LEFT ARM Fast Medium,62,"SRH, KKR, DD,MI",MI,Capped,2 CR,8 CR,Rajasthan Royals
1,M,Pat Cummins,Australia,,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,37,"DD, MI, KKR",KKR,Capped,2 CR,7.25 CR,Kolkata Knight Riders
1,M,Shikhar Dhawan,India,DDCA,36,BATSMAN,LHB,-,192,"DCH, MI, SRH, DC",DC,Capped,2 CR,8.25 CR,Punjab Kings
1,M,Faf Du Plessis,South Africa,,37,BATSMAN,RHB,RIGHT ARM Leg Spin,100,"RPS, CSK",CSK,Capped,2 CR,7 CR,Royal Challengers Bangalore
1,M,Shreyas Iyer,India,MCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,87,DC,DC,Capped,2 CR,12.25 CR,Kolkata Knight Riders
1,M,Kagiso Rabada,South Africa,,26,BOWLER,LHB,RIGHT ARM Fast,50,DC,DC,Capped,2 CR,9.25 CR,Punjab Kings
1,M,Mohammad Shami,India,CAB,32,BOWLER,RHB,RIGHT ARM Fast,77,"DCH, KKR, DD, PBKS",PBKS,Capped,2 CR,6.25 CR,Gujarat Titans
1,M,David Warner,Australia,,35,BATSMAN,LHB,-,150,"DD, SRH",SRH,Capped,2 CR,6.25 CR,Delhi Capitals
2,BA1,Shimron Hetmyer,West Indies,,25,BATSMAN,LHB,RIGHT ARM Leg Spin,31,"RCB, DC",DC,Capped,1.5 CR,8.5 CR,Rajasthan Royals
2,BA1,David Miller,South Africa,,32,BATSMAN,LHB,-,89,"KXIP, RR",RR,Capped,1 CR,3 CR,Gujarat Titans
2,BA1,Devdutt Padikkal,India,KSCA,21,BATSMAN,LHB,RIGHT ARM Off Spin,29,RCB,RCB,Capped,2 CR,7.75 CR,Rajasthan Royals
2,BA1,Manish Pandey,India,KSCA,32,BATSMAN,RHB,RIGHT ARM Off Spin,154,"MI, RCB, PWI, KKR, SRH",SRH,Capped,1 CR,4.6 CR,Lucknow Super Giants
2,BA1,Jason Roy,England,,31,BATSMAN,RHB,-,13,"GL, DC, SRH",SRH,Capped,2 CR,2 CR,Gujarat Titans
2,BA1,Robin Uthappa,India,KCA,36,BATSMAN,RHB,-,193,"MI, PWI, RCB, KKR, RR, CSK",CSK,Capped,2 CR,2 CR,Chennai Super Kings
3,AL1,Dwayne Bravo,West Indies,,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,151,"MI, GL, CSK",CSK,Capped,2 CR,4.4 CR,Chennai Super Kings
3,AL1,Wanindu Hasaranga,Sri Lanka,,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,2,RCB,RCB,Capped,1 CR,10.75 CR,Royal Challengers Bangalore
3,AL1,Jason Holder,West Indies,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,26,"CSK, KKR, SRH",SRH,Capped,1.5 CR,8.75 CR,Lucknow Super Giants
3,AL1,Mitchell Marsh,Australia,,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,21,"DCH, PWI, RPS, SRH",,Capped,2 CR,6.50 CR,Delhi Capitals
3,AL1,Krunal Pandya,India,BCA,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,84,MI,MI,Capped,2 CR,8.25 CR,Lucknow Super Giants
3,AL1,Harshal Patel,India,HCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,63,"DC, RCB",RCB,Capped,2 CR,10.75 CR,Royal Challengers Bangalore
3,AL1,Nitish Rana,India,DDCA,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,77,"MI, KKR",KKR,Capped,1 CR,8 CR,Kolkata Knight Riders
3,AL1,Washington Sundar,India,TNCA,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,42,RCB,RCB,Capped,1.5 CR,8.75 CR,Sunrisers Hyderabad
4,WK1,Jonny Bairstow,England,,32,WICKETKEEPER,RHB,-,28,SRH,SRH,Capped,1.5 CR,6.75 CR,Punjab Kings
4,WK1,Sam Billings,England,,30,WICKETKEEPER,RHB,-,22,"CSK, DC",DC,Capped,2 CR,2 CR,Kolkata Knight Riders
4,WK1,Dinesh Karthik,India,TNCA,36,WICKETKEEPER,RHB,-,213,"KXIP, MI, DD, RCB, GL, KKR",KKR,Capped,2 CR,5.5 CR,Royal Challengers Bangalore
4,WK1,Ishan Kishan,India,JSCA,23,WICKETKEEPER,LHB,-,61,"GL , MI",MI,Capped,2 CR,15.25 CR,Mumbai Indians
4,WK1,Nicholas Pooran,West Indies,,26,WICKETKEEPER,LHB,-,33,"MI, PBKS",PBKS,Capped,1.5 CR,10.75 CR,Sunrisers Hyderabad
4,WK1,Ambati Rayudu,India,ACA,36,WICKETKEEPER,RHB,-,175,"MI, CSK",CSK,Capped,2 CR,6.75 CR,Chennai Super Kings
